code,title
000.5.3.3,"Penataan Arsip Inaktif (antara lain: daftar arsip inaktif, daftar arsip inaktif tematik)"
000.5.3.4,"Penggunaan (antara lain: daftar arsip dinamis berdasarkan sistem klasifikasi keamanan dan akses arsip dinamis, bukti peminjaman arsip)"
000.5.3.5,"Autentikasi Arsip Dinamis (antara lain: pembuktian autentisitas, pendapat tenaga ahli, pengujian, penetapan autentisitas arsip dinamis)"
000.5.4,"Program Arsip Vital (antara lain: Identifikasi Arsip Vital, Perlindungan dan Pengamanan Arsip Vital, Penyelamatan Arsip Vital dan Pemulihan Arsip Vital)"
000.5.5,"Pengelolaan Arsip Terjaga (antara lain: Daftar Identifikasi Arsip Terjaga, Daftar Berkas Arsip Terjaga, Daftar Isi Berkas Arsip Terjaga, Surat Penetapan Autentifikasi Arsip Terjaga, Surat Penyerahan Arsip Terjaga, Daftar Salinan Autentik Arsip Terjaga, Berita Acara Penyerahan Salinan Autentik Arsip Terjaga"
000.5.6,Penyusutan Arsip
000.5.6.1,"Pemindahan Arsip (antara lain: Berita Acara Pemindahan, Daftar Arsip yang dipindahkan)"
000.5.6.2,"Pemusnahan Arsip (antara lain: SK Penetapan Panitia Penilai Arsip, Pertimbangan Panitia Penilai, Permintaan Persetujuan Kepala ANRI untuk pemusnahan arsip dengan retensi sekurang-kurangnya 10 Tahun atau Persetujuan Kepala Daerah selaku Pimpinan Pencipta Arsip untuk pemusnahan arsip dengan retensi di bawah 10 Tahun, Penetapan Arsip Yang Dimusnahkan, Berita Acara Pemusnahan Arsip, Daftar Arsip Yang Dimusnahkan."
000.5.6.3,"Penyerahan Arsip Statis (antara lain: Pembentukan panitia penilai, Notulen rapat panitia, Surat pertimbangan panitia penilai, Surat persetujuan dari Kepala Lembaga Kearsipan, Surat pernyataan autentik, terpercaya, utuh, dan digunakan dari pencipta arsip, Keputusan Penetapan Penyerahan, Berita Acara Penyerahan Arsip, Daftar Arsip yang diserahkan)"
000.5.7,"Alih Media Arsip (antara lain: Kebijakan alih media, Autentikasi, Berita Acara, Daftar Arsip yang alih mediakan)"
000.5.8,Data Base Pengelolaan Arsip Dinamis
000.5.8.1,Data Base Pengelolaan Arsip Aktif
000.5.8.2,Data Base Pengelolaan Arsip Inaktif
000.5.9,Pengelolaan Arsip Statis
000.5.9.1,"Akuisisi (antara lain: Monitoring fisik dan daftar, Verifikasi terhadap daftar arsip,
Menetapkan status arsip statis, Persetujuan untuk Penyerahan, Penetapan arsip yang diserahkan Berita Acara Penyerahan, Daftar Arsip yang diserahkan"
000.5.9.2,Penghargaan dan Imbalan
000.5.9.3,"Sejarah Lisan (antara lain: Administrasi kegiatan, Berita Acara Wawancara Sejarah
Lisan, Laporan Kegiatan, Hasil Wawancara (Kaser/CD/media lain sesuai perkembangan TI, dan Transkip)"
000.5.9.4,"Daftar Pencarian Arsip Statis (antara lain: pengumuman, akuisisi daftar pencarian arsip statis)"
000.5.9.5,"Menyusun Sarana Bantu Temu Balik (antara lain: daftar arsip statis, inventaris arsip statis, guide)"
000.5.9.6,"Preservasi Preventif (antara lain: penyimpanan, pengendalian hama terpadu, reproduksi (alih media)"
000.5.9.7,Preservasi Kuratif
000.5.9.8,"Autentikasi Arsip Statis (antara lain: pembuktian autentisitas, pendapat tenaga ahli, pengujian, penetapan autentitas arsip statis)"
000.5.9.9,"Akses Arsip Statis (antara lain: Layanan arsip, Penerbitan naskah sumber)"
000.6,PERSANDIAN
000.6.1,Kebijakan di bidang Persandian yang dilakukan oleh Pemerintah Daerah
000.6.2,Pengamanan Persandian
000.6.2.1,Pengamanan sinyal: teknik sandi dan kripto
000.6.2.2,Analisis sinyal: teknik sandi dan kripto
000.6.2.3,Materiil sandi: sistem dan peralatan
000.6.3,"Pengkajian persandian: Kriptografi, Peralatan Sandi, Komunkasi Sandi"
000.6.3.1,Perencanaan Pengkajian
000.6.3.2,Administrasi Pengkajian
000.6.3.3,Pelaksanaan
000.6.3.4,Pelaporan Pengkajian Persandian
000.6.4,Pembinaan dan Pengendalian Persandian
000.6.4.1,Sumber Daya Manusia (SDM)
000.6.4.2,Jaring Komunikasi
000.6.5,Layanan Sertifikasi Elektronik
000.6.5.1,Perencanaan dan Administrasi
000.6.5.2,Pelaksanaan Verifikasi
000.6.5.3,Pelaksaan Perjanjian Kerjasama
000.6.5.4,Penyesuaian Sistem dan Testing
000.6.5.5,Pelaksanaan Bimbingan Teknis Pengguna
000.6.5.6,Pelaksanaan Penerbitan Sertifikat Elektronik
000.6.5.7,Pelaporan Sertifikasi Elektronik
000.7,PERENCANAAN PEMBANGUNAN
000.7.1,Musyawarah Perencanaan Pembangunan/Musrenbang
000.7.1.1,Musrenbang Provinsi
000.7.1.2,Musrenbang Nasional
000.7.1.3,Musrenbang Kab/Kota
000.7.1.4,Musrenbang Kecamatan
000.7.1.5,Musrenbang Kelurahan
000.7.1.6,Musrenbang Desa
000.7.2,Perencaan Pembangunan Daerah
000.7.2.1,Rencana Pembangunan Jangka Panjang
000.7.2.10,Evaluasi Program
000.7.2.2,Rencana Pembangunan Jangka Menengah
000.7.2.3,Rencana Anggaran Daerah
000.7.2.4,Rencana Pembangunan Tahunan
000.7.2.5,Rencana Pembentukan Satuan Kerja Perangkat Daerah
000.7.2.6,Program kerja tahunan
000.7.2.7,Penetapan/Kontrak Kinerja
000.7.2.8,Laporan Berkala
000.7.2.9,Laporan Insidential
000.7.3,Koordinasi dan Sinkronisasi Perencanaan Pembangunan
000.7.4,Konsultasi Perencanaan Pembangunan
000.7.5,"Pemantauan, Evaluasi, Penilaian, dan Pelaporan Perencanaan Pembangunan"
000.7.6,Aksi Strategis Daerah
000.7.6.1,Rencangan awal perencanaan aksi strategi daerah
000.7.6.2,Rapat pembahasan rancangan awal dengan Perangkat Daerah
000.7.6.3,Sosialisasi dengan Perangkat Daerah
000.7.6.4,Rancangan akhir perancaan aksi strategi daerah
000.7.6.5,Penerapan perencanaan aksi strategi daerah
000.7.7,Perencanaan Pendanaan Pembangunan
000.7.7.1,Pendanaan Nasional dan Hibah
000.7.7.2,Pendanaan Daerah
000.7.7.3,Kerjasama Pembangunan Nasional
000.7.7.4,Surat Berharga Syariah Negara
000.7.7.5,Pendanaan On Top atau Inisiatif Baru
000.8,ORGANISASI DAN TATA LAKSANA
000.8.1,Struktur Organisasi di lingkungan Pemerintahan Daerah Kab/Kota
000.8.1.1,Pembentukan
000.8.1.2,Pengubahan
000.8.1.3,Pembubaran
000.8.2,Uraian Jabatan
000.8.2.1,Analisa Jabatan
000.8.2.2,Analisa Beban Kerja
000.8.3,Ketatalaksaan
000.8.3.1,Proses Bisnis
000.8.3.2,Standar Pelayanan
000.8.3.3,Standar Operasional Prosedur
000.8.3.4,Pelayanan Publik
000.8.4,Standar Kompetensi jabatan struktural dan fungsional
000.8.5,Evaluasi Kelembagaan
000.8.6,Koordinasi Penguatan Reformasi dan Birokrasi
000.8.6.1,Budaya Kerja
000.8.6.2,Penilaian Mandiri Reformasi Birokrasi
000.8.6.3,Akuntabilitas Kinerja Instansi Pemerintah
000.9,"PENELITIAN, PENGKAJIAN, DAN PENGEMBANGAN"
000.9.1,"Kebijakan di bidang penelitian, pengkajian, pengembangan yang dilakukan oleh Pemerintah Daerah"
000.9.10,"Seminar, lokakarya, temukarya, workshop"
000.9.2,"Penelitian, Pengkajian dan Pengembangan meliputi: rencana kerja, administrasi penelitian, pelaksanaan, hasil penelitian/pengkajian/rekomendasi"
000.9.3,"Sosialisasi dan desiminasi hasil penelitian, hasil pengkajian dan pengembangan"
000.9.4,"Bimbingan teknis penelitian, pengkajian dan pengembangan"
000.9.5,"Forum komunikasi penelitian, pengembangan dan penerapan ilmu pengetahuan dan teknologi"
000.9.6,"Data dan informasi hasil penelitian, pengembangan dan penerapan ilmu pengetahuan dan teknologi"
000.9.6.1,Data
000.9.6.2,Statistik
000.9.6.3,Jurnal Hasil Penelitian/Pengkajian
000.9.7,"Master proceeding/jurnal penelitian, pengembangan dan penerapan ilmu pengetahuan dan teknologi"
000.9.8,Hak atas kekayaan intelektual (HaKI)
000.9.9,Evaluasi Pelaksanaan Kebijakan
100,PEMERINTAHAN
100.1,OTONOMI DAERAH
100.1.1,Kebijakan di bidang Otonomi Daerah yang dilakukan oleh Pemerintah Daerah
100.1.2,"Penyelenggaraan Pemerintah Daerah (Fasilitasi, Bimbingan, Pengawasan, Monitoring dan Evaluasi)"
100.1.3,"Penataan Daerah, Pembinaan Daerah Pemekaran, Otonomi Khusus, Daerah Istimewa dan Dewan Pertimbangan Otonomi Daerah (Fasilitasi, Monitoring, dan Evaluasi)"
100.1.4,"Pemilihan Kepala Daerah, DPRD, dan Hubungan Antar Lembaga (Fasilitasi, Monitoring, dan Evaluasi)"
100.1.4.1,Penyelenggaraan Pemilihan Umum Kepala Daerah
100.1.4.2,Administrasi Kepala Daerah dan DPRD
100.1.4.3,Penyiapan Perumusan Kebijakan Pemberdayaan Kapasitas Kepala Daerah dan DPRD di Bidang Pemerintahan
100.1.4.4,Hubungan Antar Lembaga (Pemerintah Daerah dan DPRD)
100.1.4.5,Assosiasi Daerah
100.1.5,Otonomi khusus dan daerah istimewa
100.1.6,"Peningkatan Kapasitas Dan Evaluasi Kinerja Daerah (Fasilitasi, Monitoring, dan Evaluasi)"
100.1.6.1,Kinerja Penyelenggaraan Pemerintahan Daerah
100.1.6.2,"Kemampuan Penyelenggaraan Otonomi Daerah "
100.1.6.3,Pengembangan Kapasitas Daerah
100.1.7,"LKPJ/LKPJAMJ dan LPPD (Fasilitasi, Monitoring dan"
100.2,PEMERINTAHAN UMUM
100.2.1,Kebijakan di bidang Pemerintahan Umum yang dilakukan oleh Pemerintah Daerah
100.2.2,Dekonsentrasi dan Kerjasama
100.2.2.1,"Fasilitasi, Koordinasi, Pembinaan dan Pengawasan, serta Monitoring dan Evaluasi Dekonsentrasi dan Tugas Pembantuan"
100.2.2.2,"Fasilitasi, Koordinasi, Pembinaan dan Pengawasan, serta Monitoring dan Evaluasi Tugas Gubernur Sebagai Wakil Pemerintah"
100.2.2.3,"Fasilitasi, Koordinasi, Pembinaan dan Pengawasan, serta Monitoring dan Evaluasi Kerjasama Daerah"
100.2.2.4,Fasilitasi Kecamatan
100.2.2.5,Fasilitasi Pelayanan Umum
100.2.3,Wilayah Administrasi dan Perbatasan
100.2.3.1,Toponimi dan Data Wilayah
100.2.3.2,Pengembangan dan Penataan Batas Antar Negara
100.2.3.3,Batas Antar Daerah Wilayah
100.2.3.4,"Penataan Batas Wilayah Antar Kecamatan, Batas Wilayah Antar Kelurahan Satu Kecamatan Dan Batas Wilayah Kelurahan Antar Kecamatan"
100.2.3.5,Pemeliharaan Batas Wilayah
100.3,HUKUM
100.3.1,Program Legislasi
100.3.10,"Bantuan/Konsultasi Hukum/Advokasi Pemberian bantuan/ konsultasi hukum (Pidana, Perdata, Tata Usaha Negara dan Agama)"
100.3.1.1,Bahan/Materi Program Legislasi Daerah
100.3.11,Kasus/Sengketa Hukum
100.3.11.1,"Pidana Kasus/sengketa pidana, baik kejahatan maupun pelanggaran"
"100.3.11.2 ",Perdata Kasus/sengketa perdata
"100.3.11.3 ",Tata Usaha Negara
"100.3.11.4 ",Perburuhan
"100.3.11.5 ",Arbitrase
"100.3.11.6 ",Sengketa Adat
100.3.1.2,Program Legislasi
"100.3.12 ",Perijinan
"100.3.13 ",Hak atas Kekayaan Intelektual (HAKI)
100.3.13.1,Hak Cipta
"100.3.13.2 ",Hak Paten
"100.3.13.3 ",Hak Desain Industri
"100.3.13.4 ",Hak Rahasia Dagang
"100.3.13.5 ",Hak Merk
100.3.14,Permohonan HAKI yang ditolak
100.3.2,"Rancangan Peraturan Perundang-Undangan Rancangan Peraturan Daerah, termasuk naskah akademik, rancangan awal sampai dengan rancangan akhir dan telaah hukum sampai diundangkan"
100.3.3,Keputusan/Ketetapan Pimpinan Pemerintah
100.3.3.1,Keputusan/Ketetapan Gubernur
100.3.3.2,Keputusan/Ketetapan Bupati
100.3.3.3,Keputusan/Ketetapan Walikota
100.3.3.4,Keputusan Sekretaris Daerah Provinsi
100.3.3.5,Keputusan Sekretaris Daerah Kabupaten
100.3.3.6,Keputusan Sekretaris Daerah Kota
100.3.4,Instruksi/Surat Edaran
100.3.4.1," Instruksi/Surat Edaran Provinsi"
100.3.4.2," Instruksi/Surat Edaran Kabupaten"
100.3.4.3,Instruksi/Surat Edaran Kota
"100.3.4.4 ",Instruksi/Surat Edaran Setingkat Eselon II
"100.3.5 ",Surat Perintah
100.3.5.1,Surat Perintah Gubernur
100.3.5.2," Surat Perintah Bupati"
"100.3.5.3 ",Surat Perintah Walikota
100.3.5.4," Surat Perintah Setingkat Eselon II"
100.3.6,Standar/Pedoman/Prosedur Kerja/Petunjuk Pelaksanaan/Petunjuk Teknis
100.3.7,Nota Kesepakatan/Memorandum of Understanding (MOU) /Kontrak/Perjanjian kerja sama
"100.3.7.1 ",Dalam Negeri
"100.3.7.2 ",Luar Negeri
100.3.8,"Dokumentasi Hukum, (antara lain: Undang-Undang,Peraturan Pemerintah, Keputusan Presiden dan Peraturan-Peraturan yang dijadikan referensi)"
100.3.9,Sosialisasi/Penyuluhan/Pembinaan Hukum
200,POLITIK
200.1,KESATUAN BANGSA DAN POLITIK
200.1.1,Kebijakan di bidang Kesatuan Bangsa dan Politik yang dilakukan oleh Pemerintah Daerah
"200.1.2 ",Bina Ideologi dan Wawasan Kebangsaan
"200.1.2.1 ",Ketahanan Ideologi Negara
"200.1.2.2 ",Wawasan Kebangsaan
"200.1.2.3 ",Bela Negara
200.1.2.4,Nilai Nilai Sejarah Kebangsaan
200.1.2.5," Pembauran dan Kewarganegaraan"
"200.1.3 ",Kewaspadaan Nasional
"200.1.3.1 ",Fasilitasi dan Evaluasi Kewaspadaan Dini dan Kerjasama Intelijen Keamanan
"200.1.3.2 ",Fasilitasi Bina Masyarakat Perbatasan Antar Negara dan Kehidupan Masyarakat Perbatasan
"200.1.3.3 ",Fasilitasi dan Evaluasi Penanganan Konflik Pemerintahan
200.1.3.4," Fasilitasi dan Laporan Penanganan Konflik Sosial Fasilitasi dan Laporan Penanganan Konflik Sosial"
"200.1.3.5 ",Fasilitasi Pengawasan Orang Asing dan Lembaga Asing
200.1.4,"Ketahanan Seni, Budaya, Adat, Agama, dan Kemasyarakatan200.1.4 Ketahanan Seni, Budaya, Adat, Agama, dan Kemasyarakatan"
"200.1.4.1 ",Ketahanan Seni
"200.1.4.10 ",Fasilitasi Sengketa Ormas
"200.1.4.11 ",Fasilitasi Ormas
"200.1.4.2 ",Ketahanan Budaya
"200.1.4.3 ",Agama dan Kepercayaan
"200.1.4.4 ",Organisasi Kemasyarakatan
"200.1.4.5 ",Masalah Sosial Kemasyarakatan
"200.1.4.6 ",Fasilitasi
"200.1.4.7 ",Pelaksanaan Identifikasi dan Kompilasi Organisasi Masyarakat
"200.1.4.8 ","Laporan Hasil Kerjasama Kegiatan Dengan Ormas/LNL

"
200.1.4.9,Evaluasi Aktifitas Ormas: Sanksi Administrasi
"200.1.5 ",Politik Dalam Negeri
"200.1.5.1 ",Implementasi Kebijakan Politik
200.1.5.2,Fasilitasi Kelembagaan Politik Pemerintahan
"200.1.5.3 ",Fasilitasi Kelembagaan Partai Politik
"200.1.5.4 ",Verifikasi dan Evaluasi Partai Politik Yang Memperoleh Kursi
"200.1.5.5 ",Partai Politik Yang Tidak Memperoleh Kursi
"200.1.5.6 ",Pemerintah Daerah
"200.1.5.7 ",Database Parpol
"200.1.5.8 ",Pendidikan Budaya Politik
"200.1.5.9 ",Pemilihan Umum
200.1.6,Ketahanan Ekonomi
"200.1.6.1 ",Ketahanan Sumberdaya Alam dan Kesenjangan Perekonomian
"200.1.6.2 ","Ketahanan Perdagangan Investasi, Fiskal dan Moneter"
"200.1.6.3 ",Perilaku Perekonomian Masyarakat
"200.1.6.4 ",Ketahanan Lembaga Sosial Ekonomi
"200.2 ",PEMILU
200.2.1,Kebijakan di bidang Pemilu yang dilakukan oleh Pemerintah Daerah
"200.2.10 ",Perselisihan Hasil Pemilu
"200.2.10.1 ",Surat-surat mengenai Perselisihan Hasil Pemilu
"200.2.10.2 ",Jawaban dan kesimpulan termohon
200.2.10.3," Salinan Putusan lembaga peradilan"
"200.2.11 ",Laporan hasil penyelenggaraan Pemilu
"200.2.2 ",Pemutakhiran dan Penyusunan Daftar Pemilih
200.2.2.1,Daftar Penduduk Potensial Pemilih (DP4) Pemilu
200.2.2.2,Daftar Pemilih Sementara (DPS)
"200.2.2.3 ",Daftar Pemilih Tambahan
200.2.2.4,Keputusan KPU tentang Daftar Pemilih Tetap (DPT)
200.2.2.5,Rekapitulasi Daftar Pemilih Tetap (DPT)
"200.2.3 ",Pendaftaran dan Verifikasi Peserta Pemilu
"200.2.3.1 ",Dokumen pendaftaran peserta Pemilu dari partai politik
"200.2.3.2 ",Dokumen hasil verifikasi administrasi dan faktual partai politik
200.2.3.3,Dokumen pendaftaran peserta Pemilu dari Calon Perseorangan
"200.2.3.4 ",Dokumen hasil verifikasi administrasi dan faKtual
"200.2.4 ",Penetapan Peserta Pemilu
"200.2.4.1 ",Penetapan Daerah Pemilihan dan Jumlah Kursi Anggota
"200.2.4.2 ",Keputusan KPU tentang penetapan daerah pemilihan dan jumlah kursi Anggota DPR
"200.2.4.3 ",Keputusan KPU tentang penetapan daerah pemilihan dan jumlah kursi Anggota DPR
"200.2.4.4 ",Keputusan KPU tentang penetapan daerah pemilihan dan jumlah kursi Anggota DPRD Kabupaten/Kota
"200.2.4.5 ",Peta Daerah Pemilihan
200.2.5,Pencalonan Pemilu
"200.2.5.1 ",Petunjuk teknis pencalonan
"200.2.5.2 ",Surat pencalonan pendaftaran
"200.2.5.3 ",Daftar bakal calon
"200.2.5.4 ",Dokumen persyaratan masing-masing bakal calon
"200.2.5.5 ",Dokumen verifikasi administrasi
"200.2.5.6 ",Daftar Calon Sementara dan Calon Tetap
"200.2.6 ",Kampanye Pemilu
"200.2.6.1 ",Keputusan KPU tentang penetapan jadwal kampanye
"200.2.6.2 ",Nama juru kampanye/pelaksana kampanye
"200.2.6.3 ",Peringatan tertulis/penghentian kegiatan kampanye
"200.2.7 ",Dana Kampanye
"200.2.7.1 ",Pedoman audit dana kampanye
"200.2.7.2 ",Laporan dana kampanye peserta Pemilu
"200.2.7.3 ",Laporan hasil audit dana kampanye
200.2.8,Pemungutan dan Penghitungan Suara
"200.2.8.1 ",Keputusan KPU tentang desain dan spesifikasi surat suara
"200.2.8.2 ",Master surat suara
"200.2.8.3 ",Surat suara yang terpakai
200.2.8.4," Surat Suara Tidak terpakai (rusak, salah, dan tidak digunakan"
"200.2.8.5 ",Formulir pemilu di Pemerintah Daerah
"200.2.9 ",Penetapan Hasil Pemilu
"300 ",KEAMANAN DAN KETERTIBAN
"300.1 ",SATUAN POLISI PAMONG PRAJA
300.1.1," Kebijakan di bidang Polisi Pamong Praja yang dilakukan di Pemerintah Daerah"
"300.1.2 ",Tata Operasional dan Prasarana Sarana Polisi Pamong Praja
"300.1.2.1 ",Tata Operasiona Polisi Pamong Praja
"300.1.2.2 ",Sarana Prasarana Polisi Pamong Praja
"300.1.3 ",Peningkatan Kapasitas SDM Polisi Pamong Praja
"300.1.4 ",Perlindungan Masyarakat
"300.1.5 ",Penyidik Pegawai Negeri Sipil
"300.1.6 ",Perlindungan Hak-Hak Sipil dan Hak Asasi Manusia
"300.2 ","PENANGGULANGAN BENCANA, PENCARIAN, DAN PERTOLONGAN"
"300.2.1 ",Kebijakan di bidang Penanggulangan Bencana yang dilakukan oleh Pemerintah Daerah
"300.2.10 ",Pengembangan Sistem Informasi
"300.2.11 ",Penyajian dan Layanan Informasi
"300.2.12 ",Pelaporan dan Evaluasi
300.2.12.1," Laporan Harian"
"300.2.12.2 ",Laporan Bulanan
"300.2.12.3 ",Laporan Tahunan
"300.2.12.4 ",Evaluasi
